iter	Logloss
0	0.6603711272
1	0.6358457442
2	0.6087132881
3	0.5859210169
4	0.5656413397
5	0.5417527051
6	0.5197611172
7	0.496816497
8	0.4795328876
9	0.4633610197
10	0.4443096601
11	0.4311124499
12	0.4186007804
13	0.405954081
14	0.3935995382
15	0.3794834562
16	0.3685300346
17	0.3552454521
18	0.3431262709
19	0.3305558057
20	0.3209126691
21	0.3137383806
22	0.3050580407
23	0.2984293062
24	0.2915034285
25	0.2855243123
26	0.2780548514
27	0.2709752809
28	0.2660197577
29	0.2600052865
30	0.2548489505
31	0.250538268
32	0.2467134778
33	0.2427191986
34	0.2378500623
35	0.2344741373
36	0.2299922637
37	0.2257739998
38	0.2230206394
39	0.2199379012
40	0.2170932867
41	0.2139813
42	0.210559942
43	0.2080868835
44	0.2058763149
45	0.2032304977
46	0.200612406
47	0.1977043525
48	0.1946320954
49	0.1919831875
50	0.1898588117
51	0.1880737723
52	0.1859252392
53	0.1843951798
54	0.1829609432
55	0.181945532
56	0.1809047692
57	0.179023041
58	0.1772210855
59	0.1756724378
60	0.1740822839
61	0.1724530871
62	0.1709882135
63	0.1696008731
64	0.1681933319
65	0.1668880634
66	0.165640008
67	0.1647236147
68	0.1636200399
69	0.1626149904
70	0.1619428123
71	0.1613908383
72	0.1606758252
73	0.1597972504
74	0.1588018309
75	0.1580667066
76	0.1575520435
77	0.1569777487
78	0.1565950397
79	0.1558792801
80	0.1551531588
81	0.1544493136
82	0.1538332139
83	0.1531761901
84	0.1525398448
85	0.1520835593
86	0.1513914642
87	0.1508745167
88	0.1503708573
89	0.1498858308
90	0.149407523
91	0.1489107613
92	0.1483932913
93	0.1478318366
94	0.1473970507
95	0.1469737014
96	0.1465755694
97	0.1461222102
98	0.1456869764
99	0.1452863361
100	0.1448074908
101	0.1444165403
102	0.1439471459
103	0.143628712
104	0.1433594437
105	0.1430199282
106	0.1426332776
107	0.1423772226
108	0.1420546828
109	0.1417104493
110	0.1413877901
111	0.1410738055
112	0.1407059522
113	0.1404068531
114	0.1400581106
115	0.1398660469
116	0.1396156057
117	0.1393702259
118	0.1391256373
119	0.1388640282
120	0.138653242
121	0.1384204782
122	0.1383999938
123	0.1381332786
124	0.1378869283
125	0.1376794416
126	0.1374488129
127	0.1371588511
128	0.1368610808
129	0.1364719816
130	0.136169553
131	0.1358886838
132	0.1356864078
133	0.1355537668
134	0.1354415804
135	0.135131388
136	0.1349632726
137	0.1347019322
138	0.1345132727
139	0.1343185514
140	0.1339668229
141	0.1337162025
142	0.1335383675
143	0.1333142932
144	0.1330546698
145	0.1328785517
146	0.1326894443
147	0.1324657582
148	0.1322630492
149	0.1321033396
150	0.1318900599
151	0.1316196419
152	0.1314236068
153	0.131195994
154	0.1309281441
155	0.1307304965
156	0.1305305048
157	0.1302936651
158	0.1301088874
159	0.1299430862
160	0.1297567707
161	0.1295769051
162	0.129389649
163	0.1292267891
164	0.1290098366
165	0.1288000954
166	0.1286034332
167	0.1284237169
168	0.1282147671
169	0.1280714808
170	0.1278724148
171	0.1276341716
172	0.1275305701
173	0.1273729209
174	0.1272293658
175	0.1270560546
176	0.1268874614
177	0.1267143294
178	0.1265250279
179	0.1263232744
180	0.1260988418
181	0.1259750247
182	0.1257995187
183	0.1256609654
184	0.1254676923
185	0.1253557149
186	0.1251547229
187	0.1250034937
188	0.1249301186
189	0.1247839433
190	0.1245900805
191	0.1244165678
192	0.12418576
193	0.1240787693
194	0.1239136996
